ID,TAXON_ORDER,TAXON_ORDER_OUT,SCI_NAME,PRIMARY_COM_NAME,CATEGORY,AOU_IN,AOU_OUT,CBCSPCODE,SPORDER,FAMILY,GENUS,SPECIES,COMMON_NAME_IN,COMMON_NAME_OUT,CRC_SCI_NAME,CRC_COM_NAME,DIURNALLANDBIRD,eBird_Changes,NOTES,
1,750,750,Chen caerulescens,Snow Goose,species,1690,1690,snogoo,Anseriformes,Anatidae,Chen,caerulescens,Snow Goose,,Chen caerulescens,Snow Goose,0,,,
2,750,750,Chen caerulescens,Snow Goose,subspecies,1690,1690,grsgoo,Anseriformes,Anatidae,Chen,caerulescens,Greater Snow Goose,,Chen caerulescens,Snow Goose,0,,,
3,750,750,Chen caerulescens,Snow Goose,subspecies,1690,1690,lesgoo,Anseriformes,Anatidae,Chen,caerulescens,Lesser Snow Goose,,Chen caerulescens,Snow Goose,0,,,
4,750,750,Chen caerulescens,Snow Goose,subspecies,1690,1690,whsgoo,Anseriformes,Anatidae,Chen,caerulescens,Snow Goose (white form),,Chen caerulescens,Snow Goose,0,,,
5,750.99,750,Chen caerulescens,Snow Goose,subspecies,1691,1690,blugoo,Anseriformes,Anatidae,Chen,caerulescens,Snow Goose (blue form),,Chen caerulescens,Snow Goose,0,,,
6,750.99,750,Chen caerulescens,Blue Goose X Snow Goose (hybrid),species,1690,1690,bxsgoo,Anseriformes,Anatidae,Chen,caerulescens,Snow Goose (blue-white intergrade),,Chen caerulescens,Snow Goose,0,,,
7,750.99,750,Chen caerulescens,Blue Goose X Snow Goose (hybrid),species,,,x00021,Anseriformes,Anatidae,Chen,caerulescens,Blue Goose X Snow Goose (hybrid),,,,0,,,
8,750.99,750,Chen caerulescens,Snow Goose (blue form)/Snow Goose (white form),slash,,,y00068,Anseriformes,Anatidae,Chen,caerulescens,Snow Goose (blue form)/Snow Goose (white form),,,,0,,,
9,760,760,Chen caerulescens x rossii,Snow x Ross's Goose (hybrid),hybrid,,,x00082,Anseriformes,Anatidae,Chen,,Ross' Goose X Snow Goose (hybrid),,,,0,,,
10,765,765,Chen caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),hybrid,,,x00033,Anseriformes,Anatidae,,,Canada Goose X Snow Goose (hybrid),,,,0,,,
11,770,770,Chen rossii,Ross's Goose,species,1700,1700,burgoo,Anseriformes,Anatidae,Chen,rossii,blue morph Ross's Goose,,Chen rossii,Ross' Goose,0,,,
12,770,770,Chen rossii,Ross's Goose,species,1700,1700,rosgoo,Anseriformes,Anatidae,Chen,rossii,Ross's Goose,,Chen rossii,Ross' Goose,0,,,
13,780,780,Chen caerulescens/rossii,Snow/Ross's Goose,slash,,,y00040,Anseriformes,Anatidae,Chen,caerulescens/rossii,Ross's/Snow Goose,,,,0,,,
14,790,790,Branta bernicla,Brant,species,1730,1730,amebra,Anseriformes,Anatidae,Branta,bernicla,American Brant,,Branta bernicla,Brant,0,,,
15,790,790,Branta bernicla,Brant,species,1730,1730,bksbra,Anseriformes,Anatidae,Branta,bernicla,Black Sea Brant,,Branta bernicla,Brant,0,,,
