ID,TAXON_ORDER,TAXON_ORDER_OUT,SCI_NAME,PRIMARY_COM_NAME,CATEGORY,AOU_IN,AOU_OUT,CBCSPCODE,SPORDER,FAMILY,GENUS,SPECIES,COMMON_NAME_IN,COMMON_NAME_OUT,CRC_SCI_NAME,CRC_COM_NAME,DIURNALLANDBIRD,eBird_Changes,NOTES,
16,790,790,Branta bernicla,Brant,species,1730,1730,branth,Anseriformes,Anatidae,Branta,bernicla,Brant (hrota),,Branta bernicla,Brant,0,,,
17,790,790,Branta bernicla,Brant,species,1730,1730,brantn,Anseriformes,Anatidae,Branta,bernicla,Brant (nigricans),,Branta bernicla,Brant,0,,,
18,790,790,Branta bernicla,Brant,species,1730,1730,whbbra,Anseriformes,Anatidae,Branta,bernicla,White-bellied Brant,,Branta bernicla,Brant,0,,,
19,790,790,Branta bernicla,Brant,species,1730,1730,brant,Anseriformes,Anatidae,Branta,bernicla,Brant,,Branta bernicla,Brant,0,,,
20,800,790,Branta bernicla bernicla,Brant (Dark-bellied),subspecies,,,,Anseriformes,Anatidae,Branta,bernicla,,,,,0,,,
21,810,790,Branta bernicla hrota,Brant (Atlantic),subspecies,1730,1730,,Anseriformes,Anatidae,Branta,bernicla,Atlantic Brant,,,,0,,,
22,815,790,Branta bernicla hrota x nigricans,Brant (intergrade),subspecies,,,,Anseriformes,Anatidae,Branta,bernicla,,,,,0,,,
23,820,790,Branta bernicla nigricans,Brant (Black),subspecies,1740,1730,blkbra,Anseriformes,Anatidae,Branta,bernicla,Black Brant,,,,0,,,
24,830,790,Branta bernicla ?,Brant (Gray-bellied),subspecies,,,,Anseriformes,Anatidae,Branta,bernicla,,,,,0,,,
25,850,850,Branta leucopsis,Barnacle Goose,species,1750,1750,bargoo,Anseriformes,Anatidae,Branta,leucopsis,Barnacle Goose,,Branta leucopsis,Barnacle Goose,0,,,
26,860,860,Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),hybrid,,,,Anseriformes,Anatidae,Branta,,,,,,0,,,
27,870,870,Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),hybrid,,,,Anseriformes,Anatidae,Branta,,,,,,0,,,
28,880,880,Branta hutchinsii,Cackling Goose,species,1725,1725,cacgoo,Anseriformes,Anatidae,Branta,hutchinsii,Cackling Goose,,Branta hutchinsii,Cackling Goose,0,,,
29,880,880,Branta hutchinsii,Cackling Goose,species,1725,1725,alcgoo,Anseriformes,Anatidae,Branta,hutchinsii,(Aleutian) Canada Goose,,Branta hutchinsii,Cackling Goose,0,,,
30,880,880,Branta hutchinsii,Cackling Goose,species,1725,1725,hucgoo,Anseriformes,Anatidae,Branta,hutchinsii,Hutchins's Canada Goose,,Branta hutchinsii,Cackling Goose,0,,,
31,880,880,Branta hutchinsii,Cackling Goose,species,1725,1725,hutgoo,Anseriformes,Anatidae,Branta,hutchinsii,Hutchins's Goose,,Branta hutchinsii,Cackling Goose,0,,,
32,880,880,Branta hutchinsii,Cackling Goose,species,1725,1725,smcgoo,Anseriformes,Anatidae,Branta,hutchinsii,Canada Goose (small races),,Branta hutchinsii,Canada Goose,0,,,
33,890,880,Branta hutchinsii leucopareia,Cackling Goose (Aleutian),subspecies,1725,1725,cacgoo1,Anseriformes,Anatidae,Branta,hutchinsii,Cackling Goose,,,,0,,,
34,900,880,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),subspecies,1725,1725,ricgoo,Anseriformes,Anatidae,Branta,hutchinsii,Richardson's Canada Goose,,Branta hutchinsii,Cackling Goose,0,,,
35,910,880,Branta hutchinsii minima,Cackling Goose (minima),subspecies,1725,1725,,Anseriformes,Anatidae,Branta,hutchinsii,,,,,0,,,
36,920,880,Branta hutchinsii taverneri,Cackling Goose (Taverner's),subspecies,1725,1725,,Anseriformes,Anatidae,Branta,hutchinsii,,,,,0,,,
37,930,930,Branta canadensis,Canada Goose,species,1720,1720,cocgoo,Anseriformes,Anatidae,Branta,canadensis,Common Canada Goose,,Branta canadensis,Canada Goose,0,,,
38,930,930,Branta canadensis,Canada Goose,species,1720,1720,whcgoo,Anseriformes,Anatidae,Branta,canadensis,White-cheeked Goose,,Branta canadensis,Canada Goose,0,,,
39,930,930,Branta canadensis,Canada Goose,species,1720,1720,cangoo,Anseriformes,Anatidae,Branta,canadensis,Canada Goose,,Branta canadensis,Canada Goose,0,,,
40,940,930,Branta canadensis [canadensis Group],Canada Goose (Medium),subspecies,,,,Anseriformes,Anatidae,Branta,canadensis,,,,,0,,,
41,945,930,Branta canadensis moffitti,Canada Goose (Large),subspecies,1720,1720,lacgoo,Anseriformes,Anatidae,Branta,canadensis,(large forms) Canada Goose,,,,0,,,
42,950,930,Branta canadensis maxima,Canada Goose (Giant),subspecies,,,,Anseriformes,Anatidae,Branta,canadensis,,,,,0,,,
43,960,930,Branta canadensis occidentalis,Canada Goose (Dusky),subspecies,,,,Anseriformes,Anatidae,Branta,canadensis,,,,,0,,,
44,970,930,Branta canadensis parvipes,Canada Goose (Lesser),subspecies,1720,1720,lecgoo,Anseriformes,Anatidae,Branta,canadensis,Lesser Canada Goose,,,,0,,,
45,980,980,Branta hutchinsii/canadensis,Cackling/Canada Goose,slash,,,cacgoo2,Anseriformes,Anatidae,Branta,hutchinsii/canadensis,Cackling/Canada Goose,,,,0,,,
46,980,980,Branta hutchinsii/canadensis,Hutchins's Goose/Lesser Canada Goose,slash,,,y00130,Anseriformes,Anatidae,Branta,,Hutchins's Goose/Lesser Canada Goose,,,,0,,,
47,980.99,980.99,Branta canadensis x sp.,Canada Goose X domestic goose sp. (hybrid),hybrid,,,x00031,Anseriformes,Anatidae,,,Canada Goose X domestic goose sp. (hybrid),,,,0,,,
48,980.99,980.99,Branta canadensis x Chen canagica,Canada Goose X Emperor Goose (hybrid),hybrid,,,x00092,Anseriformes,Anatidae,,,Canada Goose X Emperor Goose (hybrid),,,,0,,,
49,990,990,Branta sandvicensis,Hawaiian Goose,species,1751,1751,hawgoo,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian Goose,,Branta sandvicensis,Hawaiian Goose (Nene),0,,,
50,990.5,990.5,Branta ruficollis,Red-breasted Goose,species,,,,Anseriformes,Anatidae,Branta,ruficollis,,,Branta ruficollis,Red-breasted Goose,0,,,
51,990.6,990.6,Branta sp.,Branta sp.,spuh,,,,Anseriformes,Anatidae,Branta,,,,,,0,,,
52,990.7,990.7,Anser/Chen/Branta sp.,goose sp.,spuh,,,goose,Anseriformes,Anatidae,Anser/Chen/Branta,,goose sp.,,,,0,,,
53,990.99,990.99,Anserinae,dark goose sp.,spuh,,,dargoo,Anseriformes,Anatidae,,,dark goose sp.,,,,0,,,
54,990.99,990.99,Anserinae,domestic goose sp.,spuh,,,domgoo,Anseriformes,Anatidae,,,domestic goose sp.,,,,0,,,
55,990.99,990.99,Anserinae,gray goose sp.,spuh,,,grygoo,Anseriformes,Anatidae,,,gray goose sp.,,,,0,,,
56,990.99,990.99,Anserinae,small white goose sp.,spuh,,,smwgoo,Anseriformes,Anatidae,,,small white goose sp.,,,,0,,,
57,990.99,990.99,Anserinae,white goose sp.,spuh,,,whigoo,Anseriformes,Anatidae,,,white goose sp.,,,,0,,,
58,991,991,Cereopsis novaehollandiae,Cape Barren Goose,species,,,,Anseriformes,Anatidae,Cereopsis,novaehollandiae,,,Cereopsis novaehollandiae,Cape Barren Goose,0,,,
59,1000,1000,Cygnus olor,Mute Swan,species,1782,1782,mutswa,Anseriformes,Anatidae,Cygnus,olor,Mute Swan,,Cygnus olor,Mute Swan,0,,,
60,1010,1010,Cygnus atratus,Black Swan,species,,,blkswa,Anseriformes,Anatidae,Cygnus,atratus,Black Swan,,Cygnus atratus,Black Swan,0,,,
61,1020,1020,Cygnus melancoryphus,Black-necked Swan,species,,,,Anseriformes,Anatidae,Cygnus,melancoryphus,,,Cygnus melanocoryphus,Black-necked Swan,0,,,
62,1030,1030,Cygnus buccinator,Trumpeter Swan,species,1810,1810,truswa,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter Swan,,Cygnus buccinator,Trumpeter Swan,0,,,
63,1040,1040,Cygnus buccinator x cygnus,Trumpeter x Tundra Swan (hybrid),hybrid,,,,Anseriformes,Anatidae,Cygnus,,,,,,0,,,
64,1050,1050,Cygnus buccinator x columbianus,Trumpeter  x Whooper Swan (hybrid),hybrid,,,,Anseriformes,Anatidae,Cygnus,,,,,,0,,,
65,1060,1060,Cygnus columbianus,Tundra Swan,species,1800,1800,tunswa,Anseriformes,Anatidae,Cygnus,columbianus,Tundra Swan,,Cygnus columbianus,Tundra Swan,0,,,
66,1070,1060,Cygnus columbianus columbianus,Tundra Swan (Whistling),subspecies,1800,1800,whiswa,Anseriformes,Anatidae,Cygnus,columbianus,Whistling Swan,,,,0,,,
67,1080,1060,Cygnus columbianus bewickii,Tundra Swan (Bewick's),subspecies,1800,1800,bewswa,Anseriformes,Anatidae,Cygnus,columbianus,Bewick's Swan,,,,0,,,
68,1090,1090,Cygnus buccinator/columbianus,Trumpeter/Tundra Swan,slash,,,y00129,Anseriformes,Anatidae,Cygnus,buccinator/columbianus,Trumpeter Swan/Whistling Swan,,,,0,,,
69,1100,1100,Cygnus cygnus,Whooper Swan,species,1790,1790,whoswa,Anseriformes,Anatidae,Cygnus,cygnus,Whooper Swan,,Cygnus cygnus,Whooper Swan,0,,,
70,1105,1105,Cygnus sp.,swan sp.,spuh,,,swan,Anseriformes,Anatidae,Cygnus,,swan sp.,,,,0,,,
71,1110,1110,Coscoroba coscoroba,Coscoroba Swan,species,,,,Anseriformes,Anatidae,Coscoroba,coscoroba,,,Coscoroba coscoroba,Coscoroba Swan,0,,,
72,1120,1120,Sarkidiornis melanotos,Comb Duck,species,,,,Anseriformes,Anatidae,Sarkidiornis,melanotos,,,Sarkidiornis melanotos,Comb Duck,0,,,
73,1130,1130,Chloephaga melanoptera,Andean Goose,species,,,,Anseriformes,Anatidae,Chloephaga,melanoptera,,,Chloephaga melanoptera,Andean Goose,0,,,
74,1140,1140,Chloephaga picta,Upland Goose,species,,,,Anseriformes,Anatidae,Chloephaga,picta,,,Chloephaga picta,Upland Goose,0,,,
75,1142,1140,Chloephaga picta (White-breasted),Upland Goose (White-breasted),subspecies,,,,Anseriformes,Anatidae,Chloephaga,picta,,,,,0,,,
76,1144,1140,Chloephaga picta (Bar-breasted),Upland Goose (Bar-breasted),subspecies,,,,Anseriformes,Anatidae,Chloephaga,picta,,,,,0,,,
77,1150,1150,Chloephaga hybrida,Kelp Goose,species,,,,Anseriformes,Anatidae,Chloephaga,hybrida,,,Chloephaga hybrida,Kelp Goose,0,,,
78,1160,1160,Chloephaga poliocephala,Ashy-headed Goose,species,,,,Anseriformes,Anatidae,Chloephaga,poliocephala,,,Chloephaga poliocephala,Ashy-headed Goose,0,,,
79,1170,1170,Chloephaga rubidiceps,Ruddy-headed Goose,species,,,,Anseriformes,Anatidae,Chloephaga,rubidiceps,,,Chloephaga rubidiceps,Ruddy-headed Goose,0,,,
80,1180,1180,Neochen jubata,Orinoco Goose,species,,,,Anseriformes,Anatidae,Neochen,jubata,,,Neochen jubata,Orinoco Goose,0,,,
81,1190,1190,Alopochen aegyptiacus,Egyptian Goose,species,,,egygoo,Anseriformes,Anatidae,Alopochen,aegyptiacus,Egyptian Goose,,Alopochen aegyptiana,Egyptian Goose,0,,,
82,1200,1200,Tadorna ferruginea,Ruddy Shelduck,species,1412,1412,rudshe,Anseriformes,Anatidae,Tadorna,ferruginea,Ruddy Shelduck,,Tadorna ferruginea,Ruddy Shelduck,0,,,
83,1201,1201,Tadorna cana,South African Shelduck,species,,,,Anseriformes,Anatidae,Tadorna,cana,,,Tadorna cana,South African Shelduck,0,,,
84,1202,1202,Tadorna tadornoides,Australian Shelduck,species,,,,Anseriformes,Anatidae,Tadorna,tadornoides,,,Tadorna tadornoides,Australian Shelduck,0,,,
85,1203,1203,Tadorna variegata,Paradise Shelduck,species,,,,Anseriformes,Anatidae,Tadorna,variegata,,,Tadorna variegata,Paradise Shelduck,0,,,
86,1210,1210,Tadorna tadorna,Common Shelduck,species,,,comshe,Anseriformes,Anatidae,Tadorna,tadorna,Common Shelduck,,Tadorna tadorna,Common Shelduck,0,,,
87,1220,1220,Tachyeres patachonicus,Flying Steamer-Duck,species,,,,Anseriformes,Anatidae,Tachyeres,patachonicus,,,Tachyeres patachonicus,Flying Steamerduck,0,,,
88,1230,1230,Tachyeres pteneres,Flightless Steamer-Duck,species,,,,Anseriformes,Anatidae,Tachyeres,pteneres,,,Tachyeres pteneres,Flightless Steamerduck,0,,,
89,1240,1240,Tachyeres brachypterus,Falkland Steamer-Duck,species,,,,Anseriformes,Anatidae,Tachyeres,brachypterus,,,Tachyeres brachypterus,Falkland Steamerduck,0,,,
90,1250,1250,Tachyeres leucocephalus,White-headed Steamer-Duck,species,,,,Anseriformes,Anatidae,Tachyeres,leucocephalus,,,Tachyeres leucocephalus,White-headed Steamerduck,0,,,
91,1255,1255,Tachyeres sp.,steamer-duck sp.,spuh,,,,Anseriformes,Anatidae,Tachyeres,,,,,,0,,,
92,1260,1260,Cairina moschata,Muscovy Duck,species,10210,10210,muscov,Anseriformes,Anatidae,Cairina,moschata,Muscovy,Muscovy Duck,Cairina moschata,Muscovy Duck,0,,,
95,1270,1260,Cairina moschata,Muscovy Duck (Domestic type),domestic,10210,10210,musduc,Anseriformes,Anatidae,Cairina,moschata,Muscovy Duck,Muscovy Duck,Cairina moschata,Muscovy Duck,0,,,
96,1275,1275,Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (Domestic type),hybrid,,,x00064,Anseriformes,Anatidae,,,Mallard X Muscovy (hybrid),,,,0,,,
97,1275,1275,Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (Domestic type),hybrid,,,x00065,Anseriformes,Anatidae,,,Mallard X Muscovy Duck (hybrid),,,,0,,,
98,1280,1280,Nettapus coromandelianus,Cotton Pygmy-Goose,species,,,,Anseriformes,Anatidae,Nettapus,coromandelianus,,,Nettapus coromandelianus,Cotton Pygmy-goose,0,,,
99,1290,1290,Callonetta leucophrys,Ringed Teal,species,,,,Anseriformes,Anatidae,Callonetta,leucophrys,,,Callonetta leucophrys,Ringed Teal,0,,,
100,1300,1300,Aix sponsa,Wood Duck,species,1440,1440,wooduc,Anseriformes,Anatidae,Aix,sponsa,Wood Duck,,Aix sponsa,Wood Duck,0,,,
101,1303,1303,Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid),hybrid,,,x00090,Anseriformes,Anatidae,,,Mallard X Wood Duck (hybrid),,,,0,,,
102,1305,1305,Aix sponsa x Lophodytes cucullatus,Wood Duck x Hooded Merganser (hybrid),hybrid,,,,Anseriformes,Anatidae,,,,,,,0,,,
103,1310,1310,Aix galericulata,Mandarin Duck,species,20670,20670,manduc,Anseriformes,Anatidae,Aix,galericulata,Mandarin Duck,Mandarin Duck,Aix galericulata,Mandarin Duck,0,,,
104,1310.99,1310.99,Aix galericulata x sponsa,Mandarin Duck X Wood Duck (hybrid),hybrid,,,x00070,Anseriformes,Anatidae,Aix,,Mandarin Duck X Wood Duck (hybrid),,,,0,,,
105,1320,1320,Chenonetta jubata,Maned Duck,species,,,,Anseriformes,Anatidae,Chenonetta,jubata,,,Chenonetta jubata,Maned Duck,0,,,
106,1330,1330,Amazonetta brasiliensis,Brazilian Teal,species,,,,Anseriformes,Anatidae,Amazonetta,brasiliensis,,,Amazonetta brasiliensis,Brazilian Teal,0,,,
107,1331,1331,Hymenolaimus malacorhynchos,Blue Duck,species,,,,Anseriformes,Anatidae,Hymenolaimus,malacorhynchos,,,Hymenolaimus malacorhynchos,Blue Duck,0,,,
108,1340,1340,Merganetta armata,Torrent Duck,species,,,,Anseriformes,Anatidae,Merganetta,armata,,,Merganetta armata,Torrent Duck,0,,,
109,1350,1350,Lophonetta specularioides,Crested Duck,species,,,,Anseriformes,Anatidae,Lophonetta,specularioides,,,Anas specularioides,Crested Duck,0,,,
110,1360,1360,Speculanas specularis,Spectacled Duck,species,,,,Anseriformes,Anatidae,Speculanas,specularis,,,Anas specularis,Spectacled Duck,0,,,
111,1370,1370,Anas strepera,Gadwall,species,1350,1350,gadwal,Anseriformes,Anatidae,Anas,strepera,Gadwall,,Anas strepera,Gadwall,0,,,
112,1380,1380,Anas strepera x platyrhynchos,Gadwall x Mallard (hybrid),hybrid,,,x00044,Anseriformes,Anatidae,Anas,,Gadwall X Mallard (hybrid),,,,0,,,
113,1381.1,1381.1,Anas strepera x clypeata,Gadwall x Northern Shoveler (hybrid),hybrid,,,,Anseriformes,Anatidae,Anas,,,,,,0,,,
114,1385,1385,Anas strepera x acuta,Gadwall x Northern Pintail (hybrid),hybrid,,,x00045,Anseriformes,Anatidae,Anas,,Gadwall X Northern Pintail (hybrid),,,,0,,,
115,1385.99,1385.99,Anas ,Gadwall X Green-winged Teal (hybrid),hybrid,,,x00043,Anseriformes,Anatidae,Anas,,Gadwall X Green-winged Teal (hybrid),,,,0,,,
116,1385.99,1385.99,,Gadwall X wigeon sp. (hybrid),hybrid,,,x00046,Anseriformes,Anatidae,Anas,,Gadwall X wigeon sp. (hybrid),,,,0,,,
117,1390,1390,Anas falcata,Falcated Duck,species,1371,1371,falduc,Anseriformes,Anatidae,Anas,falcata,Falcated Duck,,Anas falcata,Falcated Duck,0,,,
118,1400,1400,Anas penelope,Eurasian Wigeon,species,1360,1360,eurwig,Anseriformes,Anatidae,Anas,penelope,Eurasian Wigeon,,Anas penelope,Eurasian Wigeon,0,,,
119,1410,1410,Anas penelope x americana,Eurasian x American Wigeon (hybrid),hybrid,,,x00007,Anseriformes,Anatidae,Anas,,American Wigeon X Eurasian Wigeon (hybrid),,,,0,,,
120,1420,1420,Anas americana,American Wigeon,species,1370,1370,amewid,Anseriformes,Anatidae,Anas,americana,American Widgeon,,Anas americana,American Wigeon,0,,,
121,1420,1420,Anas americana,American Wigeon,species,1370,1370,baldpa,Anseriformes,Anatidae,Anas,americana,Baldpate,,Anas americana,American Wigeon,0,,,
122,1420,1420,Anas americana,American Wigeon,species,1370,1370,amewig,Anseriformes,Anatidae,Anas,americana,American Wigeon,,Anas americana,American Wigeon,0,,,
123,1422,1422,Anas americana x platyrhynchos,American Wigeon x Mallard (hybrid),hybrid,,,x00008,Anseriformes,Anatidae,Anas,,American Wigeon X Mallard (hybrid),,,,0,,,
124,1425,1425,Anas americana x acuta,American Wigeon x Northern Pintail (hybrid),hybrid,,,x00009,Anseriformes,Anatidae,Anas,,American Wigeon X Pintail (hybrid),,,,0,,,
125,1425.99,1410,Anas,wigeon sp.,spuh,,,wigeon,Anseriformes,Anatidae,Anas,,wigeon sp.,,,,0,,,
126,1430,1430,Anas sibilatrix,Chiloe Wigeon,species,,,,Anseriformes,Anatidae,Anas,sibilatrix,,,Anas sibilatrix,Chiloe Wigeon,0,,,
127,1440,1440,Anas rubripes,American Black Duck,species,1330,1330,blkduc,Anseriformes,Anatidae,Anas,rubripes,Black Duck,,Anas rubripes,American Black Duck,0,,,
128,1440,1440,Anas rubripes,American Black Duck,species,1330,1330,cobduc,Anseriformes,Anatidae,Anas,rubripes,Common Black Duck,,Anas rubripes,American Black Duck,0,,,
129,1440,1440,Anas rubripes,American Black Duck,species,1330,1330,rlbduc,Anseriformes,Anatidae,Anas,rubripes,Red-legged Black Duck,,Anas rubripes,American Black Duck,0,,,
130,1440,1440,Anas rubripes,American Black Duck,species,1330,1330,ambduc,Anseriformes,Anatidae,Anas,rubripes,American Black Duck,,Anas rubripes,American Black Duck,0,,,
131,1450,1450,Anas rubripes x platyrhynchos,American Black Duck x Mallard (hybrid),hybrid,,,x00004,Anseriformes,Anatidae,Anas,,American Black Duck X Mallard (hybrid),,,,0,,,
132,1450,1450,Anas rubripes x platyrhynchos,American Black Duck x Mallard (hybrid),hybrid,,,bxmduc,Anseriformes,Anatidae,Anas,,American Black x Mallard duck,,,,0,,,
133,1450.99,1450.99,Anas,American Black Duck x domestic duck,hybrid,,,bxdduc,Anseriformes,Anatidae,Anas,,American Black Duck x domestic duck,,,,0,,,
134,1450.99,1450.99,Anas rubripes/fulvigula,American Black Duck/Mottled Duck,slash,,,y00002,Anseriformes,Anatidae,Anas,rubripes/fulvigula,American Black Duck/Mottled Duck,,,,0,,,
135,1450.99,1450.99,Anas rubripes x acuta,Black Duck X Pintail (hybrid),hybrid,,,x00019,Anseriformes,Anatidae,Anas,,Black Duck X Pintail (hybrid),,,,0,,,
136,1460,1460,Anas platyrhynchos,Mallard,species,1320,1320,commal,Anseriformes,Anatidae,Anas,platyrhynchos,Common Mallard,,Anas platyrhynchos,Mallard,0,,,
137,1460,1460,Anas platyrhynchos,Mallard,species,1320,1320,nemduc,Anseriformes,Anatidae,Anas,platyrhynchos,New Mexican Duck,,Anas platyrhynchos,Mallard,0,,,
138,1460,1460,Anas platyrhynchos,Mallard,species,1320,1320,x00099,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard X Mexican Duck (intergrade),,Anas platyrhynchos,Mallard,0,,,
139,1460,1460,Anas platyrhynchos,Mallard,species,1320,1320,mallar,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,,Anas platyrhynchos,Mallard,0,,,
140,1465,1460,Anas platyrhynchos platyrhynchos,Mallard (Northern),subspecies,,,,Anseriformes,Anatidae,Anas,platyrhynchos,,,,,0,,,
141,1470,1460,Anas platyrhynchos diazi,Mallard (Mexican),subspecies,1331,1320,mexduc,Anseriformes,Anatidae,Anas,platyrhynchos,Mexican Duck,,,,0,,,
142,1475,1460,Anas platyrhynchos platyrhynchos x diazi,Mallard (Mexican intergrade),subspecies,,,,Anseriformes,Anatidae,Anas,platyrhynchos,,,,,0,,,
143,1480,1460,Anas platyrhynchos,Mallard (Domestic type),domestic,,,,Anseriformes,Anatidae,Anas,platyrhynchos,Common Mallard,,Anas platyrhynchos,Mallard,0,,,
144,1480,1460,Anas platyrhynchos,Mallard (Domestic type),domestic,,,,Anseriformes,Anatidae,Anas,platyrhynchos,Mexican Duck,,Anas platyrhynchos,Mallard,0,,,
145,1480,1460,Anas platyrhynchos,Mallard (Domestic type),domestic,,,,Anseriformes,Anatidae,Anas,platyrhynchos,New Mexican Duck,,Anas platyrhynchos,Mallard,0,,,
146,1480,1460,Anas platyrhynchos,Mallard (Domestic type),domestic,,,,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard X Mexican Duck (intergrade),,Anas platyrhynchos,Mallard,0,,,
147,1480.99,1460,Anas platyrhynchos X sp.?,Hybrid Mallard,hybrid,1326,1320,hybmal,Anseriformes,Anatidae,Anas,,hybrid Mallard,,,,0,,,
148,1480.99,1460,Anas platyrhynchos X sp.?,duck sp. X Mallard (hybrid),hybrid,,,x00095,Anseriformes,Anatidae,,,duck sp. X Mallard (hybrid),,,,0,,,
149,1480.99,1480.99,Anas penelope x platyrhynchos,Eurasian Wigeon X Mallard (hybrid),hybrid,,,x00042,Anseriformes,Anatidae,Anas,,Eurasian Wigeon X Mallard (hybrid),,,,0,,,
150,1480.99,1480.99,Anas wyvilliana x platyrhynchos,Hawaiian Duck X Mallard (hybrid),hybrid,,,x00091,Anseriformes,Anatidae,Anas,,Hawaiian Duck X Mallard (hybrid),,,,0,,,
151,1480.99,1480.99,Anas platyrhynchos x acuta,Mallard X Northern Pintail (hybrid),hybrid,,,x00066,Anseriformes,Anatidae,Anas,,Mallard X Northern Pintail (hybrid),,,,0,,,
152,1480.99,1480.99,Anas platyrhynchos x acuta,Mallard X Pintail (hybrid),hybrid,,,x00069,Anseriformes,Anatidae,Anas,,Mallard X Pintail (hybrid),,,,0,,,
153,1480.99,1480.99,Anas platyrhynchos x sp.,Mallard X Peking duck (hybrid),hybrid,,,x00068,Anseriformes,Anatidae,,,Mallard X Peking duck (hybrid),,,,0,,,
154,1480.99,1480.99,Anas platyrhynchos x sp.,domestic duck sp. X Mallard (hybrid),hybrid,,,x00040,Anseriformes,Anatidae,,,domestic duck sp. X Mallard (hybrid),,,,0,,,
155,1485,1485,Anas rubripes/platyrhynchos,American Black Duck/Mallard,slash,,,y00007,Anseriformes,Anatidae,Anas,rubripes/platyrhynchos,Black Duck/Mallard,,,,0,,,
156,1490,1490,Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid),hybrid,,,x00063,Anseriformes,Anatidae,Anas,,Mallard X Mottled Duck (hybrid),,,,0,,,
157,1500,1500,Anas platyrhynchos x wyvilliana,Mallard x Hawaiian Duck (hybrid),hybrid,,,,Anseriformes,Anatidae,Anas,,,,,,0,,,
